User ID,Predicted User Category,Recommended News Category,Recommended Article
U6362,user_1,Entertainment,Fleetwood Mac's Lindsey Buckingham And Christine McVie Are Working On A Duets Album
U1527,user_3,Crime,"Driver Cuts Off Motorcyclist, Gets Exactly What She Deserves"
U1000,user_3,Crime,Kelly Armstrong Case: Victim's Family Claims Victory With Murder Charge Against Travis Funke
U6935,user_1,Entertainment,Miles Teller Doing OK After Bronco Flips Over In Car Crash
U8493,user_3,Crime,"Man Trying To 'Enter Time Portal' Crashes Speeding Car Into Store, Cops Say"
U6577,user_3,Crime,Florida Extends 'Stand Your Ground' To Cover Warning Shots
U8473,user_1,Entertainment,The Next 'Jurassic World' Movie Has A Title
U7151,user_2,Education,Director Of Christian Organization Calls On Christians To Support Public Schools
U9112,user_1,Entertainment,Kate McKinnon Breaks Silence On Reason Behind 'SNL' Exit: 'My Body Was Tired'
U8515,user_2,Education,Encouraging the Discouraged Reader
U8666,user_1,Entertainment,What The Cast Of 'Big Hero 6' Looks Like In Real Life
U4856,user_3,Crime,Movie Theater Prank Frightens Many And Injures 3 In California
U4061,user_1,Entertainment,Ed Skrein Turns Down 'Hellboy' Role To Prevent Whitewashing
U4254,user_1,Entertainment,'Varsity Blues' Reunion Shows The Ol' Team Spirit
U7040,user_1,Entertainment,"Entertaining Violence: A Day of Blood, Guts, and Guns, All for Fun!"
U1720,user_1,Entertainment,Linda From Purchasing Chats 'Extreme' New 'Orange Is The New Black' Season
U2202,user_2,Education,"Let's Talk About Teacher Retention, Not Tenure"
U8311,user_2,Education,Why Don't We Have Family Leave Policies for High School Students?
U8058,user_1,Entertainment,"Tom Petty Died Of Accidental Drug Overdose, Family Reveals"
U1905,user_1,Entertainment,The 'Star Wars' Instagram Account Just Released Some Sick New Footage
U4034,user_1,Entertainment,"Question to Trump: ""Have You No Sense of Decency, Sir?"""
U4410,user_2,Education,Reclaim the Promise of Brown v. Board
U8256,user_2,Education,How Praise Became A Consolation Prize
U5508,user_2,Education,I’m A Liberal Professor And My Conservative Students Terrify Me
U7166,user_3,Crime,Oregon College Shooter Identified As Chris Harper Mercer
U1671,user_2,Education,Should Teachers Stop Fighting for Tenure?
U6019,user_1,Entertainment,The One Weird Detail In 'Dracula' That You Completely Missed
U8020,user_3,Crime,2 Miami Police Officers Shot In Ambush-Style Attack
U1873,user_2,Education,How A Betsy DeVos Department Of Education Could Lead To A Massive Transfer Of Public Funds Into The Private Sector
U2806,user_3,Crime,Temp Worker Charged In Meat Cleaver Attack On Restaurant Owners Who Offered Him A Job
U1478,user_2,Education,Set To Stun
U8504,user_2,Education,Playful Learning and Rigorous Assessment: Can We Level-Up the Common Core?
U1698,user_2,Education,The Global Search for Education: The Tech Report - From Australia
U9223,user_1,Entertainment,Shaquille O'Neal Doesn't Know Who The Queen Of England Is
U0511,user_2,Education,What If You Could Learn Like a Jedi
U3008,user_2,Education,The Death of Liberal Arts? Or the Reunion of Broken Parts
U0237,user_3,Crime,'Vampire Vet' Kept Dog Alive In Filthy Cage After Telling Owners He Was Dead
U3600,user_2,Education,"New Course Leads To Big Gains In Number Of Girls, Minorities Taking AP Computer Science Exams"
U7571,user_2,Education,Education Reformers Are So Gullible
U7168,user_2,Education,Suggestions to High School Students for Reading Shakespeare –- Part 1
U4313,user_2,Education,The Global Search for Education:  Just Imagine  - Tony Wagner and Ted Dintersmith
U8192,user_2,Education,"White Dads, Black Kids: Living Diversity in an Independent School"
U4045,user_1,Entertainment,Watch Jamie Lynn Spears Surprise Britney At The Radio Disney Awards
U8896,user_2,Education,Making School Reform a True Civil Rights Movement
U6964,user_2,Education,8 Ways Blended Learning Changes the Game
U0853,user_3,Crime,Jeffrey Pyne Trial: 911 Calls About Death Of Ruth Pyne Played For Jury
U1139,user_2,Education,"If Charter Schools Don’t Reject This Doctrine, They’ll Cease To Be Labs of Innovation"
U9047,user_1,Entertainment,This 19 Song Music Mashup Will Make It Seem Like Summer Again
U1161,user_1,Entertainment,EXCLUSIVE: BET Responds After Coming Under Fire from Journalists and Publicists
U1381,user_3,Crime,Video Shows Man Who Sexually Assaulted 4-Year-Old Get Attacked By Inmate
U2188,user_1,Entertainment,Disney's Live-Action 'Aladdin' May Feature Middle Eastern Actors
U4177,user_2,Education,Safety Is A Top Concern For Indian Students Admitted To US Schools For Fall: Report
U6676,user_1,Entertainment,Tom Hanks: Trump's 'Guerrilla War' On Press Could Lead To 'Very Scary Territory'
U3000,user_3,Crime,"Couple Ordered To Pay Enslaved Nanny $121,000 After 2 Years Of Work"
U5791,user_3,Crime,"Man Hits Red-Light Camera, Drives Off With It, Police Say"
U9001,user_1,Entertainment,Buckminster Fuller's Vision of a World That Works for Everyone
U5131,user_3,Crime,"Teen Made Up Clown Attack To Avoid Being Fired For Lateness, Police Say"
U4675,user_2,Education,Want A Better Future? Teach Evidence And Empathy!
U1283,user_3,Crime,Man Accused Of Shooting And Burning 2 People After Refusing To Pay Cab Fare
U1495,user_3,Crime,Reconsidering Life Sentences for Juveniles Who Kill
U6767,user_2,Education,Robert Putnam's Our Kids and Reclaiming the American Dream
U5514,user_1,Entertainment,"Yes, World, Kim Kardashian Is A Beyoncé Fan. Can She Live?"
U2970,user_1,Entertainment,John Oliver Has A New Theory For Why Donald Trump Won The Election
U9354,user_2,Education,A Classroom Of Tomorrow
U6785,user_1,Entertainment,Anna Faris And Chris Pratt's Son Is The Cutest Little Captain At Seattle Parade
U6305,user_3,Crime,The High-Stakes Insider Trading Trial of Mathew Martoma
U5549,user_1,Entertainment,You Won't Be Hearing Trump's Name In The New Season Of 'Broad City'
U6070,user_1,Entertainment,'Goosebumps' Scares Away Competition At The Box Office
U9277,user_2,Education,Is Federal Loan Consolidation for You?
U1090,user_2,Education,"Despite GOP Attacks, Parents Are Pretty Happy With Their Kids' Schools, Poll Finds"
U8223,user_3,Crime,FBI Fires Shots During Raid Of Maryland Home Of Emory Hughley
U5799,user_1,Entertainment,"Grammys Awards Live: Frank Ocean, fun., Mumford & Sons And More Join For Music's Biggest Night (LIVE UPDATES)"
U3355,user_2,Education,Charter Schools Are Scamming The Public With Talk About 'School Choice'
U0964,user_2,Education,Why I Encourage Failure in STEM:  One Teacher's Experience in Finding Female Leaders in STEM
U6130,user_3,Crime,Kosciuszko Park Gang Rape: 2 Women Allegedly Assaulted By Nearly A Dozen Juveniles
U1693,user_1,Entertainment,'Daily Show' Mocks Conservative Media With Montage Of 'Worst Joe Biden Scandals'
U6543,user_3,Crime,Nevada Man Gets 4 Years For Scams Using Fake Trump And Biden PACS
U6949,user_1,Entertainment,The Red Wedding Might've Been Even Sadder Than You Thought
U8004,user_3,Crime,Oklahoma Labor Commissioner Slain In Restaurant
U8706,user_1,Entertainment,"Haim Isn't A 'Girl Band,' So Don't Call Them That"
U1757,user_1,Entertainment,"Beyoncé Performs At School Fundraiser, Proves She's Cooler Than Your Mom"
U3993,user_1,Entertainment,"Jackie Chan Says 'Rush Hour 4' In The Works, Though He Wants To Expand His Range"
U1322,user_2,Education,Times Editorial Hypes Charter Schools
U2352,user_1,Entertainment,Johnnyswim Gets Personal About Loss In New Song 'Let It Matter'
U2354,user_2,Education,DeVos Department Stacks Negotiations Deck With For-Profit College Lawyers
U7417,user_2,Education,The Global Search for Education: Oppi-tunities for Parents
U6403,user_3,Crime,Police Arrest Suspect In Road Rage Slaying Of 4-Year-Old Girl
U7693,user_1,Entertainment,'SNL' Imagines How 'Avengers: Age Of Ultron' Ends
U6289,user_3,Crime,"Irate Hotel Guest Crashes Truck Through Lobby, Nearly Crushing Staff"
U9485,user_2,Education,Do You Really Know What the Common Core Is?
U2029,user_3,Crime,"""If He Really Stalked Her, Why Isn't She Crying?"""
U2079,user_3,Crime,FBI Hunts 'Spelling Bee Bandit' Who Hands Over 'Robery' Notes
U9148,user_1,Entertainment,John Mayer Is Ready To Treat Someone Else's Body Like A Wonderland
U0887,user_1,Entertainment,Lena Dunham's 'Scandal' Episode Looks So Good
U4301,user_2,Education,Teacher of My Heart
U0821,user_2,Education,"Literacy for All, Yes! The New Literacy"
U2483,user_1,Entertainment,'Transformers 5' Endures Franchise Low As Indies Perform Well At The Box Office
U3064,user_1,Entertainment,"10 Years Ago, Screenwriters Went On Strike And Changed Television Forever"
U7057,user_2,Education,Addressing the Student Debt Crisis: We Can Do More to Encourage Responsible Borrowing
U4644,user_2,Education,Is Early Reading a Problem?
U1896,user_1,Entertainment,"The ‘Friends' Theme Song, Performed By Your Favorite Film Characters"
U4462,user_1,Entertainment,Robert De Niro Gives Donald Trump Another Savage Nickname
U2107,user_3,Crime,Beating Death Of Transgender Man In Vermont Homeless Camp Leads To Arrests
U6516,user_3,Crime,Accused Charleston Shooter Talked About Attacking College: Friend
U2583,user_1,Entertainment,Soothe Yourself In 'This Long Haul We Call Life' With Amy Sedaris' Morning Routine
U0158,user_3,Crime,"At Least 10 Dead, More Injured, After Tornadoes, Floods And Storms Sweep Midwestern And Southern U.S."
U7976,user_1,Entertainment,Mel Gibson Sure Hopes Weinstein Misconduct Reports Are 'Precursor To Change'
U8301,user_1,Entertainment,Will Smith And Family Wear The Most Festive Christmas Outfits Ever
U7650,user_3,Crime,Officer Kills Allegedly Armed Suspect In Boston
U4134,user_1,Entertainment,"Woman Breaks Into Drake’s Home, Helps Herself To Soda And Fiji Water"
U8343,user_3,Crime,Nashville Bombing Suspect Told Neighbor: The World Will Never Forget Me
U8886,user_1,Entertainment,"More Fun Facts About 'Clueless,' As If You Needed Any More"
U5042,user_1,Entertainment,This Streaming Site Wants To Be The Netflix Of Indie Festival Films
U8081,user_3,Crime,Tina Alberson Guilty Of Causing Stepson Jonathan James' Dehydration Death
U9256,user_3,Crime,Police Struggle To Find Possible Motives For Austin Bombings
U6810,user_2,Education,Study Shows How Screen Time Can Improve Your Toddler's Reading Comprehension
U1098,user_1,Entertainment,Fans Raise Lightsabers Around The Country In Tribute To Carrie Fisher
U3336,user_1,Entertainment,Vanessa Bayer To Leave 'Saturday Night Live' After 7 Seasons
U5905,user_1,Entertainment,Milhouse Predicted Monday's Nobel Prize Winner Back In 2010
U2330,user_2,Education,DeVos Department Meeting Again Stalls Over Opposition To Livestreaming
U0929,user_2,Education,Teaching the Bible as Literature in Public High School (Part 3)
U2066,user_1,Entertainment,This Guy Is Trying to Save Matt Damon From A Life On Mars
U9542,user_2,Education,"If State Takeover Of New Orleans Schools Worked, ACT Scores Below 16 Wouldn't Be Embarrassing"
U7684,user_3,Crime,"In Fatal Shootings By Police, 1 In 5 Officers' Names Go Undisclosed"
U9902,user_2,Education,Creating a Learning Environment With MOOCs
U0254,user_1,Entertainment,Mark Hamill Posts A Perfect Tribute To Carrie Fisher One Year After Her Death
U0485,user_3,Crime,Top Aides Were Aware Of Laquan McDonald Details Months Before Emanuel Says He Knew
U8862,user_3,Crime,Georgia Executes Its Oldest Death Row Inmate For 1979 Murder
U4331,user_1,Entertainment,Tina Fey & Alec Baldwin Honor Tracy Morgan On 'SNL 40'
U5342,user_3,Crime,Trayvon Martin 7-Eleven Surveillance Video Shows Slain Teen Shortly Before He Was Killed
U6863,user_1,Entertainment,Dave Chappelle Makes Fun Of Louis C.K. Accuser In New Netflix Special
U6030,user_1,Entertainment,Appointment Of Roman Polanski As Cesar Awards President Sparks Outrage (UPDATE)
U5373,user_1,Entertainment,'Collateral Beauty' Trailer Is A Must-See
U5091,user_3,Crime,Louisiana Movie Theater Shooting Victims Identified
U7226,user_1,Entertainment,Zach Woods Is Officially The MVP Of 'Silicon Valley'
U5243,user_3,Crime,New Mexico Library Accuses Couple Of Urinating On Qurans
U0010,user_1,Entertainment,"Emerson, Lake & Palmer Co-Founder, Greg Lake, Dead At 69"
U5616,user_2,Education,"If You Have One of These Degrees, You Could Save Thousands by Refinancing Student Loans"
U8034,user_2,Education,"Is Higher Education Suffering a Crisis of Budget, Buildings or Failure to Adapt?"
U1824,user_2,Education,Teachers At A Chicago Charter School Plan To Strike On May 25
U2640,user_2,Education,PARCC: Still Trying To Hold Itself Together
U2176,user_2,Education,Teach For America’s Houston T-shirt Sale
U1074,user_3,Crime,Convicted Killer Guillermo Aillon Booted From Veterans' Cemetery
U0204,user_2,Education,Don't Call Them Dropouts
U4928,user_3,Crime,"'Hatchet Man' Suspect Could Have Ties To Murder Of Teen Hikers, Police Say"
U5512,user_3,Crime,Human Remains Found In Search For Hannah Graham
U7121,user_2,Education,"After Enrollment Dips, Public Schools Hope For Fall Rebound"
U0609,user_3,Crime,Woman Accused Of Heinous Sex Crimes Against 3-Year-Old And Dog
U7252,user_2,Education,Modern Day Activists Call it 'Historic Trauma'
U4194,user_1,Entertainment,John Mayer Reframes Gun Control Debate In 10 Thoughtful Tweets
U0546,user_2,Education,Closing the High School Graduation Gap
U5816,user_1,Entertainment,Mariska Hargitay Gets Hollywood Walk Of Fame Star
U2787,user_1,Entertainment,Even Rihanna Couldn't Handle This Fan's Version Of 'FourFiveSeconds'
U9501,user_3,Crime,Court Temporarily Blocks Release Of 'Angola 3' Inmate
U9295,user_1,Entertainment,"Debra Messing Shares Sweet Memories Of Her TV Mom, Debbie Reynolds"
U2600,user_1,Entertainment,Shannen Doherty Says Her Dog Could Detect Her Cancer Before Diagnosis
U6284,user_3,Crime,Brother Of San Bernardino Shooter Among 3 Arrested By FBI
U6527,user_2,Education,Test-Driven Teacher Evaluations Strike Out
U6034,user_2,Education,There's a Diploma for That
U6398,user_3,Crime,Burglary Suspect Found Dead After Being Tied To A Tree
U1026,user_3,Crime,Veteran Reportedly Helped Guide Dozens To Safety During Orlando Shooting
U9466,user_3,Crime,"Oscar Pistorius Is A 'Broken Man,' Psychologist Says At Sentencing"
U2114,user_2,Education,Flipping The Switch
U0595,user_1,Entertainment,Kaley Cuoco Hangs With A Horse After Divorce Announcement
U3401,user_1,Entertainment,The Obamas' First Date Was To See 'Do The Right Thing'
U8200,user_1,Entertainment,Why I'm Boycotting Movies About Men
U5527,user_1,Entertainment,Caitlyn Jenner Responds To Ricky Gervais' Golden Globes Jokes
U3453,user_1,Entertainment,'The Interview' Breaks Online Record
U4058,user_3,Crime,Mom Of Four Killed In Road Rage Incident
U8718,user_1,Entertainment,Comedian Tracy Morgan Marries Long-Time Fiancee Megan Wollover
U8509,user_2,Education,To The Woman Who Thanked Me For Being A Teacher Who Cares
U9838,user_2,Education,Do Grades Really Reflect Rigor?
U1314,user_1,Entertainment,Ashton Kutcher Disses Tabloid For Suggesting He Was Cheating On Mila Kunis
U7327,user_1,Entertainment,Director Signs On For 'Beverly Hills Cop 4'
U3607,user_1,Entertainment,Piers Morgan Complained About People Talking Politics. His Co-Host Had A Spot-On Retort.
U6548,user_3,Crime,2 Dead In NYC Home Depot Shooting
U5175,user_3,Crime,Another High Profile Murder Case In South Africa
U2229,user_2,Education,The Death of Liberal Arts? Or the Reunion of Broken Parts
U8340,user_2,Education,Make Entrepreneurship Education Your Summer School
U7008,user_2,Education,The Work of White Educators
U6710,user_2,Education,Pearson GERM in the Philippines Is a Scare Story for the Rest of the World
U5799,user_3,Crime,Report Details 'Major Shortcomings' In Baltimore Police Response To Unrest
U6854,user_3,Crime,Florida Extends 'Stand Your Ground' To Cover Warning Shots
U3302,user_1,Entertainment,Even The Most Evil ‘Game Of Thrones’ Villain Dislikes Donald Trump
U8407,user_1,Entertainment,The Second Best Exotic Marigold Hotel: A Movie Review
U3520,user_3,Crime,Janice Dickinson Says She Won't Feel 'Vindicated' Until Cosby Is Jailed
U7504,user_2,Education,"To Rewrite Obama Rules, DeVos Picks People Tied To Predatory Colleges"
U6880,user_3,Crime,The Real Prejudice Behind the Garner/Brown Decisions
U1582,user_2,Education,Edtech Investment Is at Record Levels -- Where Is All the Money Going?
U8898,user_1,Entertainment,Oscar-Winning Cinematographer Haskell Wexler Dies At 93
U7917,user_3,Crime,Police In Texas Kill Bat-Wielding Robbery Suspect Outside Head Shop
U4578,user_3,Crime,Suicides In Jails On The Rise: Report
U4363,user_2,Education,Schools Need to Prioritize Addressing Obesity in 2015
U5687,user_3,Crime,"""If He Really Stalked Her, Why Isn't She Crying?"""
U2176,user_1,Entertainment,Susan Sarandon Defends Ariana Grande's Bizarre Doughnut Licking On Twitter
U7702,user_2,Education,Our First Teachers: Moms and Education
U7986,user_2,Education,3 Tips for A Happy Financial New Year
U8166,user_2,Education,Teacher of My Heart
U1541,user_3,Crime,Taxpayer Costs For Arias' Defense Top $2.7 Million
U2484,user_3,Crime,Man Allegedly Kills 4 Puppies Belonging To Former Girlfriend
U6522,user_2,Education,Campus Sexual Assault Investigations Continue
U3744,user_3,Crime,Seattle Cop Won't Face Charges For Seriously Injuring Handcuffed Woman
U5589,user_2,Education,"On My First Friend, Kindergarten, And Diversity"
U3847,user_3,Crime,Dead Toddler's Father Pleads Insanity To Corpse Abuse
U7977,user_1,Entertainment,Britney Spears Crashes Kate Hudson's Game Night
U3321,user_2,Education,News For High Schools: Digital Media Plus Teaching Equals Support For Freedom
U8236,user_3,Crime,Judge Blocks Attempt To Halt Deposition Of Bill Cosby's Wife
U9667,user_3,Crime,Thousands Of Crime Victims Get Worrying Notices About Perpetrators
U6103,user_3,Crime,Why Hasn't Lance Armstrong Been Prosecuted?
U3055,user_3,Crime,"Man Scales Ski Lift, Frees Friend Hanging By His Neck Above The Snow"
U7023,user_1,Entertainment,Lady Gaga's 30th Birthday Party Looks Like A Star-Studded '80s Prom
U7726,user_1,Entertainment,"Disney Admits To Darkening White Actors' Skin For 'Aladdin,' Sparking Outrage"
U2368,user_1,Entertainment,Donald Glover’s ‘Guava Island’ Features New Version Of ‘This Is America’
U3026,user_2,Education,The Teacher as Expert Movement
U6327,user_2,Education,The Ultimate Demise of Common Core - Part III: The Logistics
U3383,user_1,Entertainment,Chance The Rapper Is Now Chance The Weatherman
U6834,user_1,Entertainment,Johnny Depp Talks 'The Lone Ranger' Make-Up As Tonto
U9799,user_2,Education,12 Things Teachers Think But Can't Always Say to Parents
U3225,user_2,Education,The Real Reason Students Shouldn't Sit In Class
U9268,user_3,Crime,CAUGHT ON VIDEO: Daycare Worker Kicks Toddler
U2786,user_2,Education,Separation of Church and State -- Part 2: The Tartuffe Factor
U3728,user_3,Crime,Oakland Fire Is Deadliest In U.S. Since 2003
U0633,user_2,Education,Doing It Yourself: From Independent Learning Plans to Organizing Your Instructional Path
U8527,user_2,Education,What I Learned from a College Tour: Visiting Johns Hopkins University
U6488,user_3,Crime,No Charges For Cops Who Killed Man Who Had His Hands Up
U6639,user_1,Entertainment,Julianne Hough Steals The Spotlight At AMAs
U7784,user_3,Crime,New York Man Arrested In Fatal Stabbing Of Homeless Mother And Children
U8884,user_3,Crime,5 Teens Charged In Attack On Girl At Brooklyn McDonald's
U1657,user_3,Crime,Las Vegas Soccer Field Shooting Injures 2 Women
U4141,user_1,Entertainment,Celebrities React To Bastille Day Attack With Powerful Pleas To Stop The Killing
U7665,user_1,Entertainment,Lisa Kudrow And Lady Gaga Turn 'Smelly Cat' Into The Song Of The Summer
U1246,user_2,Education,Where Do Schools Close Most Often For Weather?
U3874,user_1,Entertainment,Exclusive New Photo From 'Gone Girl'
U9742,user_1,Entertainment,'Avengers: Age Of Ultron' Meets 'The Wizard Of Oz' Is A Dream Come True
U0464,user_2,Education,3 Things You Should Know About Learning Disabilities
U6752,user_3,Crime,$2.5 Million Settlement For Family Of Inmate Who Died Of Thirst
U6482,user_3,Crime,"Savannah, Georgia Warehouse Fire Burns 5,600 Tons Of Rubber"
U3170,user_1,Entertainment,You Like Han Solo Because He’s A Scoundrel. 'Solo: A Star Wars Story' Forgot That.
U4941,user_3,Crime,Georgia Executes Its Oldest Death Row Inmate For 1979 Murder
U8212,user_1,Entertainment,Here Are The Best GIFs From The 2015 MTV VMAs
U8861,user_1,Entertainment,"Kasey Chambers, Best Americana Singer-Songwriter Since Lucinda, Nears End of Triumphant U.S. Tour"
U5189,user_3,Crime,Arrest Made In South Carolina Mall Shooting That Wounded 14 People
U5847,user_1,Entertainment,Pregnant Naya Rivera Hits The Beach In A Bikini
U5768,user_3,Crime,"'Today I Die,' Says Gang Leader Who Killed Self After Shooting Firefighter"
U9594,user_1,Entertainment,"'Modern Family' Might 'Have One More Season,' Eric Stonestreet Says"
U4114,user_1,Entertainment,That Mischievous Kid On 'AHS' Is The Son Of An O-Town Band Member
U4662,user_3,Crime,"U.S. Department Of Education Increases Fines For Violating Jeanne Clery Act Campus Safety Law To $54,789"
U1292,user_2,Education,Calif. High School Student Wins Election On Anti-Muslim 'Joke' Video
U7921,user_3,Crime,Washington Woman Believed Kidnapped For Ransom Found Dead (UPDATE)
U2532,user_2,Education,Bystander Intervention and Double Standards of Sexual Assault During Hazing
U9555,user_1,Entertainment,Carrie Fisher Explains Why She Finally Came Clean About Her Affair With Harrison Ford
U8183,user_1,Entertainment,Paul Walker's Daughter Meadow Reaches $10 Million Crash Settlement
U5126,user_1,Entertainment,Courtney Robertson Reveals 'Bachelor' Secrets
U4529,user_1,Entertainment,Feminism in Television
U6126,user_1,Entertainment,Poison Drummer Rikki Rockett Reveals He Has Oral Cancer
U6018,user_1,Entertainment,Taylor Swift Is A Goth Gatsby Fantasy On British Vogue Cover
U3928,user_3,Crime,"Reid Fontaine, Michael Jones Accused Of Sexually Abusing Cows"
U7148,user_3,Crime,Ex-NHL Goon Dale Purinton Accused Of Attacking Man In Burglary
U9834,user_2,Education,"Just Put My Degree In The Mail! -- Notre Dame And Bethune-Cookman, Class Of 2017"
U0179,user_3,Crime,Parkland School Shooter Indicted On 17 Counts Of Murder
U8267,user_2,Education,Happy Mother's Day To The Moms Who Teach
U0641,user_3,Crime,"Man Loses Job, House, Reputation After Police Wrongly Charge Him With Child Rape"
U7577,user_3,Crime,"Man Set Groomsmen's Cars, Homes On Fire After Marriage Failed: Cops"
U2103,user_2,Education,The Global Search for Education:  Our Top 12 Global Teacher Blogs - How do you balance preparation for high stakes assessments with teaching and learning in your classroom?
U3225,user_1,Entertainment,"Rock In Rio Adds Bruno Mars, Ed Sheeran and More to First American Lineup"
U2719,user_3,Crime,"Burglars Ram Truck Into Gun Store, Loot Stash Of Weapons: Police"
U8803,user_2,Education,News For High Schools: Digital Media Plus Teaching Equals Support For Freedom
U1703,user_2,Education,Why Would Learning Be the Goal of 21st Century Schools?
U7747,user_1,Entertainment,Benedict Cumberbatch Played Stephen Hawking Years Ago
U7461,user_2,Education,What My Students Think Is The Best Way to Engage Students
U2829,user_2,Education,At What Age Can You Teach a Global Mindset?
U4464,user_2,Education,"A Gay 6-Year-Old's Thank You To His First Grade Teacher, 20 Years Later"
U1102,user_2,Education,Back to the Future?
U6711,user_2,Education,Charter Schools Are Scamming The Public With Talk About 'School Choice'
U4697,user_2,Education,Resolved to Teach More Through Writing
U2018,user_3,Crime,Body Of Child Found Along Highway 'Consistent' With Missing Boy
U3689,user_1,Entertainment,That Shocking 'Walking Dead' Death Just Changed Everything
U6580,user_3,Crime,Aggressive Bystanders Thwart Carjacking
U4374,user_1,Entertainment,Ryan Murphy Apologizes To Women In Hollywood For The Industry’s Lack Of Equality
U0884,user_3,Crime,2 Miami Police Officers Shot In Ambush-Style Attack
U9990,user_2,Education,"PARCC Is Down to DC Plus Ten States, and Louisiana Isn't One of Them"
U2648,user_1,Entertainment,Celebrities Remember Zsa Zsa Gabor With Touching Notes On Social Media
U0416,user_3,Crime,Thanksgiving for Rep. Trey Radel
U1605,user_1,Entertainment,Kim And Kourtney Kardashian Are Adorable Toddlers In Halloween Throwback
U7459,user_3,Crime,"Teen Who Filmed Texas Pool Party Cop: 'When He Pulled His Gun, My Heart Dropped'"
U0288,user_3,Crime,Woman Stops Alleged Bank Robber By Crashing Into Him
U1238,user_3,Crime,Delta State University Shooter Left Apology Note Before Killings
U5213,user_2,Education,"In Texas, Your Child's Sleep Depends On Your School District"
U2324,user_2,Education,Study Shows How Screen Time Can Improve Your Toddler's Reading Comprehension
U5917,user_1,Entertainment,"13 Things You Need To Know About Hollywood's New It Girl, Alicia Vikander"
U1468,user_1,Entertainment,Mark Hamill And Billie Lourd Sweetly Celebrate Carrie Fisher's Grammy Win
U7498,user_3,Crime,Sharp-Eyed California Bus Driver Saves Boy Kidnapped From Library
U6710,user_3,Crime,Dylann Roof Gets Permission To Represent Himself At Trial
U0355,user_2,Education,California's Early Learning Momentum Goes on
U9436,user_1,Entertainment,Avril Lavigne And Chad Kroeger Hang At Pre-Grammys Party
U6093,user_3,Crime,Judge Approves Prosecution Deal For Jeffrey Epstein Prison Guards
U4649,user_3,Crime,Man Accused Of Choking Woman Unconscious Takes Plea Deal For No Jail Time
U8382,user_2,Education,Why I Wrote a Novel About Tenure
U7644,user_3,Crime,This Law Lets Abused Animals Get Their Own Advocates In Court
U7831,user_1,Entertainment,Everyone's Favorite Superhero Family Is Back In 'The Incredibles 2' Teaser
U4932,user_1,Entertainment,Pregnant Kourtney Kardashian Rocks A Tight LBD
U4024,user_3,Crime,"Nicole Houde, Former Miss New Hampshire, Arrested After Alleged Assault (PHOTOS)"
